Make,Model,trim,Mileage,Price
2016 Jeep,Cherokee,Limited,"35,345 miles","21,100"
2016 GMC,Acadia,Denali,"26,421 miles","30,800"
2016 Chevrolet,Spark EV,1LT,"28,352 miles","11,400"
2016 Hyundai,Tucson,Limited,"32,107 miles","23,600"
2016 Toyota,Camry,SE,"15,913 miles","18,900"
2013 Lexus,ES,ES 350,"44,743 miles","20,700"
2015 Nissan,Murano,Platinum,"31,478 miles","24,900"
2016 GMC,Acadia,Denali,"42,208 miles","29,300"
2018 Subaru,Outback,2.5i,"19,346 miles","25,400"
2017 GMC,Acadia,Denali,"33,702 miles","34,000"
2017 Chevrolet,Equinox,LS,"28,108 miles","17,500"
2017 Acura,RDX,RDX,"30,032 miles","26,800"
2016 Jeep,Cherokee,Limited,"34,967 miles","22,500"
2018 Mitsubishi,Outlander,SE,"5,074 miles","21,200"
2017 Subaru,Outback,2.5i Premium,"17,740 miles","25,400"
2018 Nissan,Murano,SV,"35,238 miles","21,900"
2014 Chevrolet,Camaro,SS,"5,000 miles","30,300"
2018 Jeep,Grand Cherokee,Limited,"38,292 miles","27,500"
2016 Ford,Mustang,EcoBoost,"40,660 miles","20,500"
2017 Chevrolet,Equinox,LT,"20,254 miles","19,400"
2012 Ford,Mustang,Shelby GT500,"8,343 miles","38,300"
2016 Dodge,Durango,Limited,"28,731 miles","28,700"
2016 Hyundai,Santa Fe,SE,"28,755 miles","23,800"
2018 Dodge,Journey,SXT,"2,939 miles","21,200"
2016 Hyundai,Sonata,Sonata,"15,260 miles","14,600"
2018 Kia,Sorento,EX,"14,068 miles","26,800"
2016 Ford,Escape,SE,"20,118 miles","16,100"
2016 Kia,Forte,EX,"28,840 miles","14,200"
2016 Ford,Escape,SE,"30,301 miles","17,100"
2017 Kia,Sportage,EX,"30,974 miles","20,000"
2016 Ford,Escape,SE,"20,522 miles","17,400"
2017 Kia,Sportage,LX,"17,296 miles","19,300"
2016 INFINITI,QX50,QX50,"47,451 miles","21,400"
2015 Jeep,Cherokee,Limited,"37,764 miles","21,400"
2018 Mitsubishi,Outlander,ES,"18,769 miles","19,200"
2016 Honda,Accord,EX,"32,390 miles","18,300"
2016 Honda,Accord,EX-L,"31,076 miles","20,000"
2017 Hyundai,Elantra,Limited,"14,739 miles","17,700"
2017 Hyundai,Elantra,SE,"8,396 miles","14,800"
2016 Lexus,RX,RX 350,"45,100 miles","33,400"
2017 Volkswagen,Tiguan,2.0T S,"12,517 miles","16,500"
2017 Honda,Civic,Touring,"25,462 miles","22,000"
2015 Toyota,Tacoma Double Cab,6 ft,"28,945 miles","30,700"
2017 Acura,RDX,RDX,"33,399 miles","28,500"
2016 Toyota,Highlander,LE Plus,"31,750 miles","27,800"
2017 Chevrolet,Traverse,LS,"46,975 miles","19,400"
2017 Chevrolet,Traverse,LS,"19,214 miles","23,200"
2018 Mitsubishi,Outlander,ES,"25,324 miles","17,300"
2017 Kia,Sportage,SX,"49,527 miles","20,500"
2018 Nissan,Murano,SV,"43,577 miles","20,200"
2017 Mercedes-Ben...,E-Class,E 300 4MATIC,"30,456 miles","36,800"
2016 Jeep,Cherokee,Limited,"28,908 miles","23,100"
2018 Nissan,LEAF,SL,"15,268 miles","25,300"
2016 Audi,Q5,2.0T Premium,"28,949 miles","25,600"
2017 Jeep,Grand Cherokee,Laredo E,"16,380 miles","26,900"
2016 Buick,Encore,Leather,"41,554 miles","16,800"
2016 Mazda,CX-5,Touring,"25,833 miles","19,500"
2016 Audi,Q5,2.0T Premium,"38,112 miles","24,800"
2018 Hyundai,Sonata,SE,"31,519 miles","17,500"
