,Make,Model,trim,Mileage,Price
0,2018 Toyota,RAV4,XLE,"7,459 miles","26,000"
0,2016 Cadillac,SRX,Luxury Collection,"47,911 miles","27,300"
0,2013 Honda,CR-V,EX-L,"51,903 miles","19,700"
0,2016 Kia,Sorento,EX,"38,409 miles","20,800"
0,2017 Honda,CR-V,LX,"21,544 miles","21,100"
0,2013 Toyota,RAV4,Limited,"42,633 miles","19,600"
0,2016 Jeep,Patriot,High Altitude Edition,"34,340 miles","18,400"
0,2017 Ford,Fusion Energi,Plug-In Hybrid SE Luxury,"32,574 miles","18,700"
0,2017 Toyota,Sienna,XLE,"55,501 miles","27,500"
0,2017 Ford,F150 Super Cab,XLT 8 ft,"13,465 miles","28,000"
0,2016 Mercedes-Ben...,C-Class,C 300 4MATIC,"45,765 miles","25,100"
0,2014 Honda,CR-V,EX-L,"30,002 miles","20,700"
0,2016 Jeep,Compass,High Altitude Edition,"24,318 miles","17,300"
0,2018 Honda,Accord,EX-L,"21,981 miles","26,700"
0,2017 Toyota,Sienna,LE,"42,986 miles","23,600"
0,2016 Cadillac,SRX,Performance Collection,"50,703 miles","25,600"
0,2016 Nissan,Altima,2.5,"24,322 miles","17,000"
0,2016 Toyota,Sienna,LE,"65,646 miles","21,900"
0,2016 Hyundai,Sonata,Sonata,"23,581 miles","15,600"
0,2016 Jeep,Compass,Latitude,"47,601 miles","16,000"
0,2016 Honda,CR-V,EX,"33,542 miles","21,100"
0,2013 Honda,CR-V,LX,"94,005 miles","14,900"
0,2018 Honda,Civic,EX,"8,002 miles","23,500"
0,2015 Toyota,Tacoma Double Cab,PreRunner 5 ft,"48,442 miles","25,800"
0,2015 Jeep,Wrangler,Unlimited Sport S,"28,755 miles","28,800"
0,2015 Hyundai,Genesis,3.8,"68,814 miles","20,300"
0,2016 Chevrolet,Traverse,LS,"28,685 miles","23,500"
0,2016 Toyota,Highlander,LE,"30,548 miles","27,300"
0,2018 Honda,Civic,Sport,"3,519 miles","21,900"
0,2012 Honda,CR-V,EX-L,"86,816 miles","15,600"
0,2016 Ford,F150 Super Cab,XL 6 1/2 ft,"41,473 miles","27,300"
0,2016 Jeep,Renegade,Latitude,"31,552 miles","18,500"
0,2016 Toyota,RAV4,XLE,"35,934 miles","20,800"
0,2018 Dodge,Grand Caravan Pas...,SXT,"37,469 miles","19,700"
0,2017 Subaru,Outback,2.5i Limited,"43,442 miles","24,600"
0,2013 Honda,Accord,Sport,"101,422 miles","16,400"
0,2014 Jeep,Wrangler,Unlimited Sport,"72,396 miles","26,800"
0,2018 BMW,3 Series,320i xDrive,"25,208 miles","28,800"
