make,model,trim,mileage,price,year,month
Jeep,Cherokee,Limited,35345,21100,2016,july
GMC,Acadia,Denali,26421,30800,2016,july
Chevrolet,Spark EV,1LT,28352,11400,2016,july
Hyundai,Tucson,Limited,32107,23600,2016,july
Toyota,Camry,SE,15913,18900,2016,july
Lexus,ES,ES 350,44743,20700,2013,july
Nissan,Murano,Platinum,31478,24900,2015,july
GMC,Acadia,Denali,42208,29300,2016,july
Subaru,Outback,2.5i,19346,25400,2018,july
GMC,Acadia,Denali,33702,34000,2017,july
Chevrolet,Equinox,LS,28108,17500,2017,july
Acura,RDX,RDX,30032,26800,2017,july
Jeep,Cherokee,Limited,34967,22500,2016,july
Mitsubishi,Outlander,SE,5074,21200,2018,july
Subaru,Outback,2.5i Premium,17740,25400,2017,july
Nissan,Murano,SV,35238,21900,2018,july
Chevrolet,Camaro,SS,5000,30300,2014,july
Jeep,Grand Cherokee,Limited,38292,27500,2018,july
Ford,Mustang,EcoBoost,40660,20500,2016,july
Chevrolet,Equinox,LT,20254,19400,2017,july
Ford,Mustang,Shelby GT500,8343,38300,2012,july
Dodge,Durango,Limited,28731,28700,2016,july
Hyundai,Santa Fe,SE,28755,23800,2016,july
Dodge,Journey,SXT,2939,21200,2018,july
Hyundai,Sonata,Sonata,15260,14600,2016,july
Kia,Sorento,EX,14068,26800,2018,july
Ford,Escape,SE,20118,16100,2016,july
Kia,Forte,EX,28840,14200,2016,july
Ford,Escape,SE,30301,17100,2016,july
Kia,Sportage,EX,30974,20000,2017,july
Ford,Escape,SE,20522,17400,2016,july
Kia,Sportage,LX,17296,19300,2017,july
INFINITI,QX50,QX50,47451,21400,2016,july
Jeep,Cherokee,Limited,37764,21400,2015,july
Mitsubishi,Outlander,ES,18769,19200,2018,july
Honda,Accord,EX,32390,18300,2016,july
Honda,Accord,EX-L,31076,20000,2016,july
Hyundai,Elantra,Limited,14739,17700,2017,july
Hyundai,Elantra,SE,8396,14800,2017,july
Lexus,RX,RX 350,45100,33400,2016,july
Volkswagen,Tiguan,2.0T S,12517,16500,2017,july
Honda,Civic,Touring,25462,22000,2017,july
Toyota,Tacoma Double Cab,6 ft,28945,30700,2015,july
Acura,RDX,RDX,33399,28500,2017,july
Toyota,Highlander,LE Plus,31750,27800,2016,july
Chevrolet,Traverse,LS,46975,19400,2017,july
Chevrolet,Traverse,LS,19214,23200,2017,july
Mitsubishi,Outlander,ES,25324,17300,2018,july
Kia,Sportage,SX,49527,20500,2017,july
Nissan,Murano,SV,43577,20200,2018,july
Mercedes-Ben...,E-Class,E 300 4MATIC,30456,36800,2017,july
Jeep,Cherokee,Limited,28908,23100,2016,july
Nissan,LEAF,SL,15268,25300,2018,july
Audi,Q5,2.0T Premium,28949,25600,2016,july
Jeep,Grand Cherokee,Laredo E,16380,26900,2017,july
Buick,Encore,Leather,41554,16800,2016,july
Mazda,CX-5,Touring,25833,19500,2016,july
Audi,Q5,2.0T Premium,38112,24800,2016,july
Hyundai,Sonata,SE,31519,17500,2018,july
Jeep,Grand Cherokee,Overland,3600,38600,2017,july
Ford,Mustang,Shelby GT350,304,52900,2018,july
Acura,RDX,RDX,41086,26200,2017,july
Acura,RDX,RDX,28157,25100,2016,july
Nissan,Pathfinder,SV,28334,23000,2018,july
Nissan,Maxima,SV,43206,20300,2018,july
Honda,CR-V,LX,33877,18500,2016,july
Chevrolet,Impala,LT,21945,19500,2018,july
Dodge,Challenger,SRT Hellcat,8327,51000,2016,july
Ford,Taurus,SEL,30322,15800,2016,july
Honda,CR-V,EX,24358,20700,2016,july
Honda,CR-V,EX,27663,19600,2016,july
Honda,CR-V,EX,19623,20700,2016,july
Ram,1500 Crew Cab,SLT 5 1/2 ft,14050,29900,2017,july
Honda,CR-V,EX,40638,19400,2016,july
Volkswagen,Tiguan,2.0T Wolfsburg Edition,20153,20000,2017,july
Nissan,Murano,SV,32585,20800,2018,july
BMW,5 Series,535i Gran Turismo xDrive,48952,36800,2017,july
Jeep,Cherokee,Limited,30397,21100,2016,july
Ford,Mustang,BULLITT,10008,45400,2019,july
Ford,Mustang,EcoBoost,30753,23400,2018,july
Chevrolet,Impala,Premier,41336,19100,2018,july
Ford,Mustang,EcoBoost,24754,22400,2018,july
Audi,A4,Premium,10444,32200,2018,july
Lexus,IS,IS 250,30344,23800,2015,july
Honda,CR-V,EX-L,36151,17900,2012,july
Jeep,Cherokee,Limited,45251,19500,2017,july
Dodge,Journey,GT,12319,20100,2017,july
Hyundai,Santa Fe,SE Ultimate,30599,25700,2017,july
Nissan,LEAF,SV,37939,13800,2016,july
Hyundai,Elantra,SE,21573,15700,2017,july
Jeep,Compass,Limited,29108,21900,2018,july
BMW,5 Series,530i xDrive,13160,43700,2018,july
Ford,Mustang,EcoBoost,29921,22600,2018,july
Chevrolet,Impala,LT,28173,19200,2018,july
Dodge,Grand Caravan Pas...,SE,29870,17900,2018,july
INFINITI,Q50,3.0t SPORT,20777,31100,2018,july
Honda,Civic,Si,11777,23700,2017,july
Honda,CR-V,LX,34263,18600,2016,july
Honda,Civic,EX,26214,17200,2016,july
Ford,Focus,SE,10658,14900,2018,july
Volkswagen,Tiguan,2.0T Sport 4Motion,35992,20200,2017,july
Jeep,Cherokee,Limited,45547,21000,2016,july
GMC,Acadia,Denali,40525,28600,2016,july
Honda,CR-V,LX,19134,20700,2016,july
Honda,Civic,LX,29512,15600,2016,july
GMC,Terrain,SLE-1,39704,17800,2016,july
Ford,Mustang,GT,10931,30800,2018,july
Chevrolet,Spark EV,2LT,25981,10000,2015,july
Audi,A6,3.0T Premium Plus,42613,29900,2016,july
Chevrolet,Malibu,Premier,10519,23900,2018,july
Jeep,Grand Cherokee,Overland,38124,30400,2016,july
Chevrolet,Impala,LT,32906,18900,2018,july
Ford,Escape,SE,20596,16600,2017,july
Mitsubishi,Outlander,ES,20206,18400,2018,july
Buick,Encore,Leather,33245,17800,2016,july
Ford,Focus,Titanium,14708,17200,2018,july
Ford,Focus,Titanium,27923,15300,2018,july
Cadillac,ATS,ATS,17683,26200,2017,july
Hyundai,Elantra,SE,22596,13200,2016,july
Chevrolet,Spark EV,2LT,26163,10800,2016,july
Lexus,RX,RX 350,41265,36500,2017,july
Chevrolet,Impala,LT,44995,18200,2018,july
Nissan,Pathfinder,SV,24619,19900,2016,july
Volkswagen,Tiguan,2.0T Sport,43917,18800,2017,july
Nissan,Maxima,SV,37643,22400,2018,july
Chevrolet,Malibu,LS,18229,16500,2018,july
INFINITI,Q50,3.7,38218,20200,2015,july
Toyota,Sienna,XLE,55236,24600,2016,july
Mitsubishi,Outlander,SE,40739,17200,2018,july
Honda,Civic,EX,20797,19200,2017,july
Chevrolet,Impala,LT,30513,18000,2018,july
Lexus,RX,RX 350,35544,32500,2016,july
Audi,A4,Premium Plus,23275,31800,2018,july
Toyota,Highlander,LE,35331,25900,2016,july
Honda,Accord,Touring,12094,31500,2018,july
Honda,Civic,LX,30844,18400,2018,july
INFINITI,Q50,3.7,31683,22400,2015,july
Toyota,Tacoma Double Cab,PreRunner 5 ft,25800,27300,2015,july
Mercedes-Ben...,C-Class,C 300 4MATIC,18306,31500,2018,july
INFINITI,Q50,3.7 Premium,42040,20700,2015,july
INFINITI,QX50,QX50,25730,22700,2016,july
Honda,Civic,EX,4392,20400,2018,july
Chevrolet,Traverse,LS,60141,20600,2017,july
Chevrolet,Traverse,LT,53742,21400,2017,july
Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,21661,31100,2016,july
Chevrolet,Equinox,Premier,20760,19600,2017,july
Chevrolet,Traverse,LS,22689,22800,2017,july
Chevrolet,Malibu,LS,11977,17700,2018,july
Hyundai,Elantra,SE,14351,16900,2017,july
Hyundai,Elantra,SE Value Edition,8915,17200,2017,july
Hyundai,Tucson,Sport,20845,21300,2016,july
Acura,MDX,MDX,44700,27600,2016,july
INFINITI,Q50,3.7 Premium,27091,22300,2015,july
Chevrolet,Camaro,LT,16180,25300,2017,july
Nissan,Rogue,SL,15817,20100,2016,july
Chevrolet,Impala,LT,32689,17900,2018,july
Honda,Accord,Touring,3262,32400,2018,july
Subaru,Legacy,2.5i Premium,15351,17900,2016,july
Buick,Encore,Leather,20458,17200,2015,july
Toyota,Highlander,XLE,27084,28900,2016,july
Nissan,Altima,2.5 S,24541,14600,2016,july
Mazda,CX-5,Touring,18317,20400,2016,july
Mazda,CX-5,Sport,30219,18500,2016,july
Ford,Mustang,EcoBoost Premium,42036,20500,2018,july
Dodge,Journey,SE,10094,17300,2018,july
INFINITI,Q50,3.7 Premium,27814,21500,2015,july
Chevrolet,Camaro,LT,20280,22800,2017,july
INFINITI,QX50,QX50,32423,22600,2016,july
Dodge,Charger,SXT,17096,23400,2018,july
Kia,Sorento,LX,31226,17200,2017,july
Honda,CR-V,LX,9790,25000,2017,july
Ford,Mustang,EcoBoost,39226,21200,2018,july
Toyota,Highlander,LE,46058,25400,2016,july
INFINITI,Q50,2.0t LUXE,19667,25600,2018,july
Mazda,MAZDA3,Sport,21212,16700,2017,july
Honda,CR-V,LX,46778,16300,2014,july
Buick,Encore,Convenience,17399,15600,2015,july
INFINITI,QX50,QX50,34065,23000,2016,july
Chevrolet,Impala,Premier,38837,21300,2018,july
Mercedes-Ben...,C-Class,C 300 4MATIC,21552,31000,2018,july
Lexus,RX,RX 350,15411,35600,2016,july
BMW,5 Series,550i xDrive,27797,36100,2016,july
Dodge,Journey,SE,11303,18900,2017,july
Audi,A6,2.0T Premium,33610,25400,2016,july
Dodge,Charger,SXT,32794,21700,2015,july
INFINITI,Q50,2.0t LUXE,20853,24500,2018,july
Jeep,Grand Cherokee,Limited,31826,28600,2018,july
Dodge,Durango,SXT,38557,22900,2015,july
Hyundai,Santa Fe,Limited,43736,19100,2013,july
FIAT,500e,500e,16975,11300,2016,july
GMC,Terrain,SLE-1,22849,18900,2016,july
INFINITI,Q50,2.0t LUXE,9136,25400,2018,july
Cadillac,ATS,2.0L Turbo Luxury,61794,20100,2016,july
Chevrolet,Traverse,LS,31070,22300,2017,july
Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,11279,28600,2017,july
Ford,Edge,SEL,16100,24600,2018,july
INFINITI,Q50,2.0t LUXE,8261,27900,2018,july
Honda,Civic,LX,1798,19200,2018,july
Honda,Accord,EX-L,30213,21500,2016,july
Dodge,Grand Caravan Pas...,SE,27711,17300,2017,july
Nissan,Pathfinder,S,59309,21000,2016,july
Jeep,Grand Cherokee,Laredo,40445,22800,2017,july
Chevrolet,Traverse,LS,28156,22100,2017,july
Chevrolet,Traverse,LS,31786,21600,2017,july
Mazda,CX-5,Touring,90386,14400,2015,july
BMW,5 Series,550i xDrive,50871,34000,2016,july
Mazda,CX-5,Touring,31846,18800,2016,july
Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,7763,33600,2018,july
Kia,Forte,LX,12774,14400,2018,july
BMW,3 Series,340i xDrive,10004,42900,2018,july
Dodge,Challenger,R/T Scat Pack,7388,36000,2016,july
Chevrolet,Cruze,LS,18041,13900,2017,july
Honda,Accord,LX,1647,21900,2018,july
Audi,A6,2.0T Premium Plus,46718,26000,2017,july
Kia,Sorento,LX,43113,16900,2016,july
Hyundai,Santa Fe,SE,15963,20700,2018,july
Mazda,CX-5,Sport,30306,17900,2016,july
Chevrolet,Traverse,LS,25831,22000,2017,july
Mitsubishi,Outlander,SE,37328,17400,2017,july
Honda,Accord,Sport SE,16227,21200,2017,july
Chevrolet,Camaro,SS,5026,30100,2015,july
Chrysler,300,300S,29735,20600,2016,july
GMC,Terrain,SLE,17266,21800,2018,july
Hyundai,Sonata,Sonata,31843,14600,2016,july
Ford,Edge,SE,42823,20700,2016,july
Ford,Mustang,GT 50 Years Limited Editi...,4876,38500,2015,july
Ford,Mustang,EcoBoost Premium,31549,22000,2018,july
Cadillac,ATS,3.6L Performance,44410,23300,2015,july
Toyota,Tacoma Double Cab,SR5 5 ft,17834,28500,2016,july
Buick,Encore,Preferred II,23750,18700,2017,july
Honda,CR-V,LX,41650,18600,2016,july
